id,realDonaldTrump,HillaryClinton
0,0.304935,0.695065
1,0.232048,0.767952
2,0.362246,0.637754
3,0.858235,0.141765
4,0.714019,0.28598
5,0.100491,0.899509
6,0.0528495,0.947151
7,0.100748,0.899252
8,0.0238915,0.976108
9,0.260205,0.739795
10,0.416992,0.583008
11,0.541006,0.458994
12,0.0322283,0.967772
13,0.059044,0.940956
14,0.0780059,0.921994
15,0.982198,0.0178021
16,0.0631895,0.93681
17,0.977202,0.0227977
18,0.0524077,0.947592
19,0.977424,0.0225763
20,0.93251,0.0674901
21,0.352923,0.647077
22,0.954542,0.0454578
23,0.239074,0.760926
24,0.954394,0.0456062
25,0.589931,0.410069
26,0.933544,0.0664559
27,0.0359252,0.964075
28,0.189654,0.810346
29,0.888792,0.111208
30,0.931665,0.0683347
31,0.0846522,0.915348
32,0.251597,0.748403
33,0.138161,0.861839
34,0.487934,0.512066
35,0.0590902,0.94091
36,0.0950684,0.904932
37,0.920398,0.0796022
38,0.956204,0.0437959
39,0.730522,0.269478
40,0.0677899,0.93221
41,0.0431148,0.956885
42,0.108565,0.891435
43,0.177083,0.822917
44,0.0353151,0.964685
45,0.318114,0.681886
46,0.107339,0.892661
47,0.0669369,0.933063
48,0.214164,0.785836
49,0.0418078,0.958192
50,0.887368,0.112632
51,0.134748,0.865252
52,0.14328,0.85672
53,0.202493,0.797507
54,0.153604,0.846396
55,0.912031,0.0879694
56,0.032552,0.967448
57,0.0803145,0.919685
58,0.099828,0.900172
59,0.888267,0.111733
60,0.0358843,0.964116
61,0.0315637,0.968436
62,0.333297,0.666703
63,0.053687,0.946313
64,0.34276,0.65724
65,0.225323,0.774677
66,0.0990092,0.900991
67,0.186088,0.813912
68,0.130081,0.869919
69,0.048758,0.951242
70,0.955637,0.0443626
71,0.0316917,0.968308
72,0.0545603,0.94544
73,0.859994,0.140006
74,0.785238,0.214762
75,0.0911164,0.908884
76,0.314759,0.685241
77,0.239582,0.760418
78,0.0627329,0.937267
79,0.114106,0.885894
80,0.177413,0.822587
81,0.280775,0.719225
82,0.193081,0.806919
83,0.772847,0.227153
84,0.85213,0.14787
85,0.0673268,0.932673
86,0.846335,0.153665
87,0.760623,0.239377
88,0.0402779,0.959722
89,0.47311,0.52689
90,0.0244184,0.975582
91,0.57675,0.42325
92,0.02601,0.97399
93,0.922414,0.0775856
94,0.949785,0.0502152
95,0.320274,0.679726
96,0.0241883,0.975812
97,0.036268,0.963732
98,0.354101,0.645899
99,0.0294598,0.97054
100,0.175085,0.824915
101,0.399817,0.600183
102,0.0686498,0.93135
103,0.0426252,0.957375
104,0.968014,0.0319863
105,0.888318,0.111682
106,0.857593,0.142407
107,0.0406451,0.959355
108,0.534427,0.465573
109,0.0512568,0.948743
110,0.107434,0.892566
111,0.0228777,0.977122
112,0.0445066,0.955493
113,0.0549267,0.945073
114,0.919243,0.080757
115,0.0373056,0.962695
116,0.0296184,0.970382
117,0.677262,0.322738
118,0.0735724,0.926428
119,0.602016,0.397984
120,0.0234167,0.976583
121,0.0513446,0.948655
122,0.036823,0.963177
123,0.0341989,0.965801
124,0.894612,0.105388
125,0.060166,0.939834
126,0.822288,0.177712
127,0.0447215,0.955279
128,0.0709998,0.929
129,0.0508734,0.949127
130,0.066308,0.933692
131,0.0240076,0.975992
132,0.0599421,0.940058
133,0.591044,0.408956
134,0.0635466,0.936453
135,0.934409,0.0655907
136,0.977308,0.0226924
137,0.131926,0.868074
138,0.271821,0.728179
139,0.0718606,0.928139
140,0.0301228,0.969877
141,0.0921408,0.907859
142,0.14931,0.85069
143,0.874919,0.125081
144,0.050987,0.949013
145,0.469585,0.530415
146,0.430126,0.569874
147,0.0684893,0.931511
148,0.473628,0.526372
149,0.450221,0.549779
150,0.325343,0.674657
151,0.0489242,0.951076
152,0.453928,0.546072
153,0.890719,0.109281
154,0.231941,0.768059
155,0.03563,0.96437
156,0.0431556,0.956844
157,0.84657,0.15343
158,0.0523408,0.947659
159,0.0425637,0.957436
160,0.40229,0.59771
161,0.0524373,0.947563
162,0.662949,0.337051
163,0.0287932,0.971207
164,0.328462,0.671538
165,0.121911,0.878089
166,0.0580058,0.941994
167,0.7248,0.2752
168,0.954791,0.0452092
169,0.063163,0.936837
170,0.102379,0.897621
171,0.0270414,0.972959
172,0.0783562,0.921644
173,0.0332515,0.966748
174,0.983415,0.0165849
175,0.056634,0.943366
176,0.0899191,0.910081
177,0.090558,0.909442
178,0.969878,0.0301217
179,0.129741,0.870259
180,0.0244822,0.975518
181,0.971733,0.0282666
182,0.917865,0.0821355
183,0.0662333,0.933767
184,0.0461619,0.953838
185,0.964106,0.0358944
186,0.0606274,0.939373
187,0.114488,0.885512
188,0.0263725,0.973628
189,0.113603,0.886397
190,0.736719,0.263281
191,0.0697403,0.93026
192,0.066989,0.933011
193,0.143656,0.856344
194,0.0910574,0.908943
195,0.0373504,0.96265
196,0.0990046,0.900995
197,0.0349752,0.965025
198,0.0664405,0.933559
199,0.967924,0.0320763
200,0.982911,0.0170892
201,0.98237,0.01763
