id,realDonaldTrump,HillaryClinton
0,0.00642336,0.993577
1,0.000283484,0.999716
2,0.998775,0.00122477
3,0.00229687,0.997703
4,0.998502,0.00149805
5,0.000555858,0.999444
6,0.308611,0.691389
7,0.00449265,0.995507
8,0.000338407,0.999662
9,0.941332,0.0586675
10,0.0167274,0.983273
11,0.318308,0.681692
12,0.0016965,0.998304
13,0.0406846,0.959315
14,0.232213,0.767787
15,0.884526,0.115474
16,0.228036,0.771964
17,0.999893,0.000107385
18,0.00123467,0.998765
19,0.999756,0.000243861
20,0.999758,0.000241965
21,0.000472758,0.999527
22,0.531725,0.468275
23,0.990611,0.0093888
24,0.00290775,0.997092
25,0.000627949,0.999372
26,0.999754,0.000245574
27,0.000282213,0.999718
28,0.00332562,0.996674
29,0.474772,0.525228
30,0.173769,0.826231
31,0.996553,0.00344671
32,0.00325861,0.996741
33,0.153598,0.846402
34,0.470199,0.529801
35,0.419763,0.580237
36,0.000452769,0.999547
37,0.153602,0.846398
38,0.0272148,0.972785
39,0.537667,0.462333
40,0.00038397,0.999616
41,0.0171061,0.982894
42,0.000174864,0.999825
43,0.00119041,0.99881
44,0.00829682,0.991703
45,0.00291102,0.997089
46,0.0013367,0.998663
47,0.588462,0.411538
48,0.113996,0.886004
49,0.000620562,0.999379
50,0.994709,0.00529076
51,0.870652,0.129348
52,0.000729367,0.999271
53,0.00360357,0.996396
54,0.00473538,0.995265
55,0.998836,0.00116437
56,0.152757,0.847243
57,0.00148173,0.998518
58,0.000659137,0.999341
59,0.997868,0.00213234
60,0.00165051,0.99835
61,0.00187108,0.998129
62,0.97925,0.02075
63,0.0304111,0.969589
64,0.190448,0.809552
65,0.000915373,0.999085
66,0.0157246,0.984275
67,0.00144137,0.998559
68,0.01774,0.98226
69,0.00157056,0.998429
70,0.998832,0.00116819
71,0.016122,0.983878
72,0.00394521,0.996055
73,0.0106066,0.989393
74,0.0436931,0.956307
75,0.000998814,0.999001
76,0.00855451,0.991445
77,0.00103888,0.998961
78,0.00415844,0.995842
79,0.000430082,0.99957
80,0.000664803,0.999335
81,0.392096,0.607904
82,0.000329509,0.999671
83,0.0696321,0.930368
84,0.99491,0.00509035
85,0.0559401,0.94406
86,0.997007,0.00299279
87,0.111691,0.888309
88,0.00162152,0.998379
89,0.105776,0.894224
90,0.00588015,0.99412
91,0.00644935,0.993551
92,0.000824831,0.999175
93,0.999867,0.000132691
94,0.999841,0.000159069
95,0.0823917,0.917608
96,0.0344701,0.96553
97,0.153554,0.846446
98,0.00019156,0.999808
99,0.00485494,0.995145
100,0.022153,0.977847
101,0.000558741,0.999441
102,0.0430144,0.956986
103,0.00385266,0.996147
104,0.304973,0.695027
105,0.997889,0.00211063
106,0.000817181,0.999183
107,0.00070253,0.999297
108,0.0019604,0.99804
109,0.000663143,0.999337
110,0.00103509,0.998965
111,0.00401848,0.995982
112,0.039731,0.960269
113,0.161903,0.838097
114,0.999869,0.000130571
115,0.00134586,0.998654
116,0.00155632,0.998444
117,0.999101,0.000898903
118,0.00242775,0.997572
119,0.00106218,0.998938
120,0.00142711,0.998573
121,0.000944518,0.999055
122,0.000432057,0.999568
123,0.00400119,0.995999
124,0.28685,0.71315
125,0.000299464,0.999701
126,0.00335848,0.996642
127,0.000574606,0.999425
128,0.000522966,0.999477
129,0.000602506,0.999398
130,0.00423735,0.995763
131,0.000887005,0.999113
132,0.00178503,0.998215
133,0.000335884,0.999664
134,0.0025641,0.997436
135,0.59189,0.40811
136,0.999381,0.000618562
137,0.00047821,0.999522
138,0.000673459,0.999327
139,0.00474126,0.995259
140,0.000564901,0.999435
141,0.182831,0.817169
142,0.0065953,0.993405
143,0.971852,0.028148
144,0.0017725,0.998228
145,0.998772,0.00122812
146,0.107542,0.892458
147,0.000961537,0.999038
148,0.00195948,0.99804
149,0.230978,0.769022
150,0.000629628,0.99937
151,0.00266229,0.997338
152,0.000183662,0.999816
153,0.997276,0.00272433
154,0.000859125,0.999141
155,0.0135834,0.986417
156,0.000438235,0.999562
157,0.00178907,0.998211
158,0.00120215,0.998798
159,0.0309945,0.969006
160,0.00249491,0.997505
161,0.00199299,0.998007
162,0.000275941,0.999724
163,0.588342,0.411658
164,0.00374401,0.996256
165,0.0048312,0.995169
166,0.00108339,0.998917
167,0.913419,0.0865814
168,0.996773,0.00322665
169,0.00198242,0.998018
170,0.00189349,0.998106
171,0.0014691,0.998531
172,0.00955872,0.990441
173,0.000896878,0.999103
174,0.998599,0.00140152
175,0.00431065,0.995689
176,0.00095996,0.99904
177,0.0661023,0.933898
178,0.998809,0.00119151
179,0.00521405,0.994786
180,0.00241536,0.997585
181,0.997627,0.00237326
182,0.998824,0.00117609
183,0.0211489,0.978851
184,0.0422638,0.957736
185,0.999646,0.000353819
186,0.000444705,0.999555
187,0.00109609,0.998904
188,0.00319458,0.996805
189,0.000436295,0.999564
190,0.000333602,0.999666
191,0.000738285,0.999262
192,0.000251737,0.999748
193,0.134439,0.865561
194,0.0066388,0.993361
195,0.000725742,0.999274
196,0.000548989,0.999451
197,0.00104178,0.998958
