id,realDonaldTrump,HillaryClinton
0,0.995086,0.00491382
1,0.998982,0.00101818
2,0.000836639,0.999163
3,0.996751,0.00324868
4,0.00122388,0.998776
5,0.998152,0.00184773
6,0.995455,0.00454476
7,0.998646,0.00135366
8,0.998909,0.0010906
9,0.036767,0.963233
10,0.922795,0.0772049
11,0.952183,0.0478166
12,0.997879,0.00212075
13,0.979145,0.0208551
14,0.867978,0.132022
15,0.218503,0.781497
16,0.9419,0.0580997
17,0.000221665,0.999778
18,0.995301,0.00469916
19,0.000345722,0.999654
20,0.000350615,0.999649
21,0.999198,0.000802319
22,0.936289,0.0637113
23,0.0620285,0.937972
24,0.998225,0.00177499
25,0.99897,0.00102957
26,0.00039853,0.999602
27,0.9994,0.000599799
28,0.995977,0.00402353
29,0.0431857,0.956814
30,0.979348,0.020652
31,0.00549165,0.994508
32,0.989148,0.0108518
33,0.974826,0.0251744
34,0.415417,0.584583
35,0.827953,0.172047
36,0.998885,0.00111518
37,0.991159,0.0088406
38,0.960406,0.0395942
39,0.180431,0.819569
40,0.999137,0.000862908
41,0.961117,0.0388832
42,0.999437,0.00056304
43,0.998554,0.00144634
44,0.965302,0.0346979
45,0.990577,0.0094226
46,0.994819,0.00518103
47,0.379283,0.620717
48,0.97572,0.0242801
49,0.993973,0.00602737
50,0.0431312,0.956869
51,0.410862,0.589138
52,0.997822,0.00217792
53,0.990645,0.00935523
54,0.963905,0.0360954
55,0.000628178,0.999372
56,0.936352,0.0636475
57,0.999116,0.000884234
58,0.997044,0.0029565
59,0.00319735,0.996803
60,0.991252,0.00874812
61,0.998109,0.00189118
62,0.151879,0.848121
63,0.977167,0.0228331
64,0.99224,0.00775972
65,0.998768,0.00123191
66,0.686304,0.313696
67,0.997072,0.00292825
68,0.995402,0.00459806
69,0.996195,0.00380519
70,0.00210779,0.997892
71,0.976208,0.0237925
72,0.997318,0.00268179
73,0.994875,0.00512459
74,0.933598,0.0664017
75,0.997838,0.00216241
76,0.985384,0.0146163
77,0.996994,0.0030056
78,0.994213,0.00578663
79,0.995355,0.00464506
80,0.998947,0.0010532
81,0.952838,0.0471622
82,0.999124,0.000875747
83,0.954622,0.0453776
84,0.00387547,0.996125
85,0.987664,0.0123362
86,0.00985792,0.990142
87,0.530743,0.469257
88,0.996954,0.00304562
89,0.526288,0.473713
90,0.99127,0.00872978
91,0.994507,0.00549296
92,0.997918,0.00208214
93,0.000255763,0.999744
94,0.000310927,0.999689
95,0.92799,0.0720097
96,0.986046,0.0139544
97,0.939369,0.0606308
98,0.999482,0.000517546
99,0.998053,0.00194741
100,0.993356,0.00664377
101,0.99899,0.00100994
102,0.877641,0.122359
103,0.971536,0.0284644
104,0.886271,0.113729
105,0.0104309,0.989569
106,0.998188,0.00181161
107,0.998574,0.00142644
108,0.999126,0.000873849
109,0.998149,0.00185126
110,0.998868,0.00113208
111,0.995939,0.00406053
112,0.896285,0.103715
113,0.844378,0.155622
114,0.000279504,0.999721
115,0.990036,0.00996438
116,0.997646,0.00235371
117,0.00105178,0.998948
118,0.997079,0.00292151
119,0.995349,0.00465113
120,0.996181,0.00381891
121,0.999529,0.000470654
122,0.998176,0.00182384
123,0.994069,0.00593156
124,0.921308,0.0786922
125,0.999114,0.000886486
126,0.997071,0.00292916
127,0.999441,0.000558751
128,0.999084,0.000915598
129,0.997098,0.00290216
130,0.998525,0.00147504
131,0.998609,0.00139056
132,0.997973,0.00202691
133,0.998935,0.00106497
134,0.996896,0.00310441
135,0.139884,0.860116
136,0.00240324,0.997597
137,0.998889,0.0011106
138,0.999091,0.00090872
139,0.996372,0.00362846
140,0.998872,0.00112785
141,0.793761,0.206239
142,0.995006,0.00499438
143,0.0168353,0.983165
144,0.999061,0.000938725
145,0.000851177,0.999149
146,0.945028,0.0549724
147,0.998401,0.00159892
148,0.989974,0.0100259
149,0.910128,0.089872
150,0.998272,0.00172754
151,0.991263,0.00873748
152,0.999365,0.000634678
153,0.00750404,0.992496
154,0.979802,0.0201985
155,0.993212,0.0067878
156,0.998904,0.00109564
157,0.997006,0.00299448
158,0.998505,0.00149494
159,0.984827,0.0151726
160,0.996337,0.00366285
161,0.997941,0.0020592
162,0.999435,0.000565442
163,0.962672,0.0373281
164,0.995371,0.00462881
165,0.997283,0.00271694
166,0.998836,0.00116409
167,0.478,0.522
168,0.00369485,0.996305
169,0.995208,0.00479177
170,0.975592,0.0244079
171,0.998536,0.00146416
172,0.970343,0.0296568
173,0.995014,0.00498556
174,0.00319204,0.996808
175,0.991771,0.00822951
176,0.998253,0.00174688
177,0.977871,0.0221287
178,0.000547455,0.999453
179,0.957057,0.0429433
180,0.997048,0.00295228
181,0.00293517,0.997065
182,0.000416824,0.999583
183,0.98694,0.0130597
184,0.997159,0.00284105
185,0.000527049,0.999473
186,0.998818,0.00118205
187,0.995347,0.00465333
188,0.992987,0.00701274
189,0.998384,0.0016157
190,0.999097,0.000903273
191,0.986249,0.0137512
192,0.99932,0.000679734
193,0.98547,0.0145299
194,0.98354,0.0164597
195,0.998879,0.00112063
196,0.998912,0.00108785
197,0.995604,0.00439619
198,0.990415,0.00958518
199,0.00942977,0.99057
200,0.000460864,0.999539
201,0.000836871,0.999163
202,0.00137426,0.998626
203,0.00203299,0.997967
204,0.993025,0.00697502
205,0.990928,0.00907168
206,0.988149,0.0118511
207,0.999272,0.000727716
208,0.997665,0.00233509
209,0.997657,0.00234264
210,0.997985,0.0020153
211,0.952128,0.0478719
212,0.99196,0.00804005
213,0.998148,0.00185205
214,0.955791,0.0442086
215,0.00638021,0.99362
216,0.995839,0.0041615
217,0.895103,0.104897
218,0.951727,0.0482726
219,0.866641,0.133359
220,0.99856,0.0014398
221,0.998973,0.00102666
222,0.999127,0.000872549
223,0.028339,0.971661
224,0.0970659,0.902934
225,0.0653193,0.934681
226,0.00794361,0.992056
227,0.594973,0.405027
228,0.000213735,0.999786
229,0.791147,0.208853
230,0.000821096,0.999179
231,0.00894624,0.991054
232,0.999013,0.000987356
233,0.99929,0.000710518
234,0.000338861,0.999661
235,0.990665,0.00933506
236,0.315602,0.684397
237,0.844167,0.155833
238,0.999084,0.000915818
239,0.997224,0.00277608
240,0.000276546,0.999723
241,0.998447,0.00155336
242,0.533727,0.466273
243,0.691857,0.308143
244,0.77102,0.22898
245,0.998987,0.00101268
246,0.997403,0.00259734
247,0.00195728,0.998043
248,0.000571932,0.999428
249,0.00298478,0.997015
250,0.000349173,0.999651
251,0.000639833,0.99936
252,0.687921,0.312079
253,0.99912,0.000879769
254,0.974494,0.0255059
255,0.437143,0.562857
256,0.957538,0.0424617
257,0.998338,0.00166183
258,0.994392,0.00560815
259,0.661965,0.338035
260,0.998166,0.00183437
261,0.999158,0.000841701
262,0.996689,0.0033111
263,0.997984,0.00201575
264,0.00218655,0.997813
265,0.997092,0.0029075
266,0.997916,0.00208406
267,0.916872,0.0831279
268,0.491434,0.508566
269,0.00310876,0.996891
270,0.997854,0.00214566
271,0.997944,0.00205573
272,0.000787346,0.999213
273,0.998331,0.00166851
274,0.00523918,0.994761
275,0.996534,0.00346652
276,0.998045,0.00195524
277,0.00194863,0.998051
278,0.000857852,0.999142
279,0.996887,0.00311263
280,0.993896,0.00610421
281,0.996399,0.003601
282,0.715232,0.284768
283,0.00135541,0.998645
284,0.460926,0.539074
285,0.390398,0.609602
286,0.994315,0.00568464
287,0.997631,0.00236868
288,0.921643,0.0783565
289,0.986676,0.0133235
290,0.997174,0.00282588
291,0.995375,0.00462452
292,0.932059,0.0679414
293,0.992693,0.0073074
294,0.000306168,0.999694
295,0.998263,0.0017371
296,0.840673,0.159327
297,0.998169,0.00183122
298,0.998602,0.00139772
299,0.00121699,0.998783
300,0.395442,0.604558
301,0.997617,0.00238275
302,0.996009,0.00399127
303,0.102629,0.897371
304,0.00148161,0.998518
305,0.961583,0.0384169
306,0.000433258,0.999567
307,0.991604,0.00839647
308,0.00261629,0.997384
309,0.997084,0.00291612
310,0.995133,0.00486686
311,0.00941742,0.990583
312,0.00143605,0.998564
313,0.000888847,0.999111
314,0.351428,0.648572
315,0.943817,0.0561832
316,0.988598,0.0114019
317,0.958626,0.0413737
318,0.0424197,0.95758
319,0.748668,0.251332
